heart_rate,cadence,distance,speed
62,0,0,0
62,0,0,0
59,0,0.38,0
63,0,2.53,0
66,0,4.05,0
69,51,26.61,0
73,83,38.05,0
76,83,42.58,0.882
80,83,45.03,1.325
83,85,46.97,1.793
87,85,56.75,3.334
86,0,79.07,5.515
90,82,89.51,6.167
93,82,93.09,6.61
96,82,106.88,7.178
97,87,128.71,8.449
100,87,137.61,9.486
103,87,146.51,10.372
106,87,160.06,11.462
109,86,169.94,12.056
112,86,178.58,12.553
115,83,196.14,12.251
118,84,207.62,12.24
123,85,214.82,12.506
127,84,224.39,12.895
131,83,231.95,13.104
134,83,246.26,13.306
138,82,258.99,13.676
139,83,280.96,13.669
143,83,303.15,13.651
142,82,324.69,13.496
144,82,350.39,13.378
145,82,371.85,13.226
146,82,393.11,13.075
147,82,414.79,12.856
150,80,431.57,12.744
151,81,453.68,12.629
152,81,475.98,12.427
152,80,499.48,12.272
151,80,520.08,12.128
147,80,538.37,11.578
150,79,549.27,11.509
149,78,571.39,11.336
148,79,592.64,11.387
147,79,613.47,11.444
150,82,625.26,11.52
145,80,639.42,11.624
147,79,661.74,11.7
148,80,685.54,11.743
149,77,708.05,11.714
150,81,729.11,11.729
153,82,735.84,11.79
150,80,748.66,11.75
149,80,769.92,11.722
149,81,791.48,11.704
150,82,812.09,11.794
150,80,832.37,11.912
147,80,845.11,11.938
149,80,865.67,11.992
148,80,887.2,12.028
149,80,907.95,12.067
149,80,930.71,12.06
148,81,952.62,12.082
148,80,973.22,12.118
148,79,994.67,12.056
148,74,1003.47,12.017
150,0,1025.76,11.966
147,80,1037.43,11.966
146,80,1059.15,12.19
145,81,1080.67,11.995
144,78,1101.14,11.725
145,80,1122.37,11.808
144,78,1145.95,11.812
147,81,1169.4,11.516
147,79,1190.96,11.959
150,79,1207.09,11.934
153,79,1225.68,11.894
156,78,1235.58,11.794
157,81,1258.12,11.668
154,80,1276.72,11.754
153,80,1297.39,11.797
152,80,1319.31,11.851
153,55,1340.53,11.128
150,81,1361.39,11.38
153,79,1382.44,11.329
154,79,1404.48,11.635
155,78,1425.75,11.743
155,81,1448.97,12.078
154,79,1469.24,12.067
154,79,1489.34,11.444
155,81,1510.13,12.395
153,80,1531.89,12.384
154,79,1552.33,12.06
156,82,1574.74,11.66
156,81,1595.38,12.251
157,83,1618.63,12.874
159,83,1639.26,13.266
160,83,1661.78,13.536
161,81,1682.64,13.712
161,79,1705.88,13.104
161,83,1726.52,13.68
167,80,1745.29,13.597
164,81,1747.96,13.439
165,79,1769.55,13.115
167,77,1790.3,12.46
167,78,1810.63,12.254
165,77,1833.12,11.92
166,77,1855.37,12.179
166,77,1878.07,11.79
165,0,1901.71,10.447
165,77,1922.18,11.21
163,77,1943.46,10.778
158,76,1963.66,10.454
161,76,1968.8,10.289
161,75,1989.2,10.069
160,76,2000.18,9.925
162,77,2022.88,10.62
161,75,2043.85,10.544
156,77,2061.61,10.292
159,77,2064.51,10.285
158,78,2086.31,10.246
158,79,2107.44,10.458
156,76,2127.94,10.451
159,76,2144.14,10.422
159,81,2165.77,10.411
159,81,2187.99,10.616
159,80,2210.24,12.204
159,76,2231.63,11.12
160,76,2251.85,10.49
162,76,2273.31,10.109
160,77,2296.05,10.35
159,79,2316.55,10.685
162,62,2337.4,10.811
159,0,2348.31,10.069
157,79,2369.79,9.994
158,78,2392.89,10.066
157,77,2413.65,9.954
160,76,2425.22,9.94
157,76,2427.78,9.958
160,79,2444.96,10.408
159,77,2465.51,10.343
162,78,2486.18,10.541
160,77,2507.08,10.152
160,76,2530.12,10.249
163,77,2552.03,10.31
163,78,2573.56,10.343
166,79,2589.95,10.451
161,79,2597.98,10.476
161,80,2602.24,10.483
161,79,2624.03,10.998
159,78,2644.87,11.437
160,76,2665.79,11.394
162,76,2688.64,11.264
165,79,2696.95,11.437
162,77,2714.98,11.65
163,76,2738.41,11.603
162,76,2759.72,11.592
165,0,2774.93,11.099
162,53,2787.5,10.372
159,55,2792.22,9.169
155,54,2798.4,7.981
152,54,2803,7.33
149,52,2807.34,7.06
145,48,2819.61,6.048
142,0,2827.95,5.558
143,82,2851.92,11.156
145,81,2873.33,12.193
146,80,2894.33,12.136
146,77,2915.6,12.154
146,76,2937.68,11.65
147,78,2960.84,11.581
146,79,2982.51,11.585
149,79,2989.14,11.581
150,80,3001.01,12.179
153,81,3014.02,12.78
156,79,3024.13,12.586
156,77,3044.22,12.283
155,0,3064.59,10.537
155,79,3086.9,10.296
153,79,3109.51,12.485
152,79,3129.98,12.11
156,77,3141.09,12.442
156,80,3161.27,12.938
157,0,3182.93,12.658
154,0,3201.25,12.658
155,79,3223.49,12.906
158,80,3226.93,12.816
155,80,3230.15,12.816
153,78,3251.1,12.715
154,79,3271.13,11.776
153,79,3292.29,11.786
156,78,3306.91,11.92
159,79,3329.88,12.42
162,78,3345.81,12.485
160,80,3366.54,12.456
162,80,3387.61,12.553
163,78,3407.63,12.6
160,78,3413.83,12.514
163,78,3415.36,12.488
160,0,3433.73,11.916
157,55,3443.92,11.387
156,78,3465.9,11.873
157,78,3486.6,12.326
158,78,3506.77,12.539
161,78,3528.35,12.506
160,81,3552.1,12.773
163,82,3561.76,12.856
160,83,3565.72,12.902
162,83,3587.86,12.953
165,76,3606.62,12.24
162,0,3619.13,9.598
159,0,3621.46,9.598
156,45,3627.3,7.826
153,43,3640.62,0
150,55,3644.52,0
147,0,3647.01,1.141
144,0,3657.3,0
141,0,3661.56,0
140,0,3680.42,0
