Brand,Model_No,SubmitStatus,Config,Country,Power Input (kW),Cooling Capacity (kW),Refrigerant,Type,Variable Output Compressor,IMG
TOSHIBA,RAS-B18UFV-A/RAS-18SAV2-A,Approved,Non Ducted,Thailand,1.63,4.9,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c99919c8?text=TOSHIBARAS-B18UFV-A/RAS-18SAV2-A
DAIKIN,FDYQN180LB / RZQ180L,Approved,Ducted,Thailand;Australia,5.88,18,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a15a07de?text=DAIKINFDYQN180LB / RZQ180L
DAIKIN,FDYQN200LB / RZQ200LY,Approved,Ducted,Australia;Thailand,6.44,20,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff698dab62?text=DAIKINFDYQN200LB / RZQ200LY
ACTRON AIR,CAY470T / EVY470T,Approved,Ducted,Australia,15.4,45.77,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/0f70cbf076e0?text=ACTRON AIRCAY470T / EVY470T
ACTRON AIR,PKY470T,Approved,Ducted,Australia,15.4,45.77,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/26edd54fc489?text=ACTRON AIRPKY470T
SPECIALIZED ENGINEERING,APC024VA3B,Approved,Ducted,Australia,7,24.6,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/e58aab409d72?text=SPECIALIZED ENGINEERINGAPC024VA3B
SPECIALIZED ENGINEERING,APH024VA3B,Approved,Ducted,Australia,7,24.6,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/19886d4fcd44?text=SPECIALIZED ENGINEERINGAPH024VA3B
Mammoth,MSR-L009,Approved,Ducted,China,0.655,3,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/06c141133b48?text=MammothMSR-L009
Mitsubishi Electric,MUFZ-KJ50VE-A1,Approved,Non Ducted,Thailand;Japan,1.4,4.995,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/f62435ca7c24?text=Mitsubishi ElectricMUFZ-KJ50VE-A1
Mitsubishi Electric,MUFZ-KJ50VEHZ-A1,Approved,Non Ducted,Thailand;Japan,1.4,4.995,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/c4b5b313edcd?text=Mitsubishi ElectricMUFZ-KJ50VEHZ-A1
