Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Guinea,29/08/2014,25,141,482,648,2,141,287,430
Nigeria,29/08/2014,3,1,15,19,0,1,6,7
Sierra Leone,29/08/2014,54,37,935,1026,8,34,380,422
Liberia,29/08/2014,382,674,322,1378,168,301,225,694
Sierra Leone,5/09/2014,78,37,1146,1261,11,37,443,491
Nigeria,5/09/2014,3,1,18,22,0,1,7,8
Liberia,5/09/2014,369,888,614,1871,257,401,431,1089
Guinea,5/09/2014,56,152,604,812,3,152,362,517
Senegal,5/09/2014,0,0,1,1,0,0,0,0
Senegal,8/09/2014,2,0,1,3,0,0,0,0
Guinea,8/09/2014,47,151,664,862,4,151,400,555
Sierra Leone,8/09/2014,90,37,1234,1361,11,37,461,509
Liberia,8/09/2014,443,969,634,2046,296,420,508,1224
Nigeria,8/09/2014,1,1,19,21,0,1,7,8
Guinea,12/09/2014,32,151,678,861,4,150,403,557
Sierra Leone,12/09/2014,100,37,1287,1424,12,34,478,524
Nigeria,12/09/2014,1,1,19,21,0,1,7,8
Liberia,12/09/2014,453,974,654,2081,211,428,498,1137
Senegal,12/09/2014,2,0,1,3,0,0,0,0
Senegal,16/09/2014,0,0,1,1,0,0,0,0
Sierra Leone,16/09/2014,119,37,1464,1620,11,37,514,562
Guinea,16/09/2014,31,162,743,936,4,162,429,595
Nigeria,16/09/2014,1,1,19,21,0,1,7,8
Liberia,16/09/2014,539,1078,790,2407,261,472,563,1296
Nigeria,18/09/2014,1,1,19,21,0,1,7,8
Guinea,18/09/2014,30,162,750,942,5,161,435,601
Sierra Leone,18/09/2014,123,37,1513,1673,11,34,517,562
Liberia,18/09/2014,675,1233,812,2710,310,518,631,1459
Senegal,18/09/2014,0,0,1,1,0,0,0,0
Nigeria,22/09/2014,0,1,19,20,0,1,7,8
Sierra Leone,22/09/2014,136,37,1640,1813,11,37,545,593
Liberia,22/09/2014,817,1342,863,3022,364,544,670,1578
Senegal,22/09/2014,0,0,1,1,0,0,0,0
Guinea,22/09/2014,28,162,818,1008,5,162,465,632
Liberia,24/09/2014,921,1469,890,3280,413,593,671,1677
Guinea,24/09/2014,28,162,832,1022,5,162,468,635
Nigeria,24/09/2014,0,1,19,20,0,1,7,8
Senegal,24/09/2014,0,0,1,1,0,0,0,0
Sierra Leone,24/09/2014,158,37,1745,1940,11,34,552,597
Sierra Leone,26/09/2014,168,37,1816,2021,11,37,557,605
Liberia,26/09/2014,1005,1539,914,3458,415,623,792,1830
Senegal,26/09/2014,0,0,1,1,0,0,0,0
Guinea,26/09/2014,36,162,876,1074,5,162,481,648
Nigeria,26/09/2014,0,1,19,20,0,1,7,8
Guinea,1/10/2014,37,170,950,1157,5,170,535,710
Senegal,1/10/2014,0,0,1,1,0,0,0,0
Nigeria,1/10/2014,0,1,19,20,0,1,7,8
Sierra Leone,1/10/2014,191,37,2076,2304,11,37,574,622
Liberia,1/10/2014,1113,1656,927,3696,444,664,890,1998
United States of America,3/10/2014,0,0,1,1,0,0,0,0
Nigeria,3/10/2014,0,1,19,20,0,1,7,8
Guinea,3/10/2014,45,177,977,1199,0,177,562,739
Liberia,3/10/2014,1190,1713,931,3834,458,677,934,2069
Sierra Leone,3/10/2014,221,37,2179,2437,11,37,575,623
Senegal,3/10/2014,0,0,1,1,0,0,0,0
Nigeria,8/10/2014,0,1,19,20,0,1,7,8
United States of America,8/10/2014,0,0,1,1,0,0,0,0
Senegal,8/10/2014,0,0,1,1,0,0,0,0
Guinea,8/10/2014,74,180,1044,1298,2,179,587,768
Sierra Leone,8/10/2014,297,37,2455,2789,31,123,725,879
Liberia,8/10/2014,1188,1795,941,3924,491,701,1018,2210
United States of America,10/10/2014,0,0,1,1,0,0,0,0
Senegal,10/10/2014,0,0,1,1,0,0,0,0
Liberia,10/10/2014,1259,1874,943,4076,519,725,1072,2316
Nigeria,10/10/2014,0,1,19,20,0,1,7,8
Spain,10/10/2014,0,0,1,1,0,0,0,0
Guinea,10/10/2014,73,180,1097,1350,0,180,598,778
Sierra Leone,10/10/2014,320,37,2593,2950,35,142,753,930
United States of America,15/10/2014,0,0,2,2,0,0,1,1
Senegal,15/10/2014,0,0,1,1,0,0,0,0
Nigeria,15/10/2014,0,1,19,20,0,1,7,8
Liberia,15/10/2014,1376,1923,950,4249,0,0,0,2458
Spain,15/10/2014,0,0,1,1,0,0,0,0
Guinea,15/10/2014,98,190,1184,1472,0,190,653,843
Sierra Leone,15/10/2014,366,37,2849,3252,100,157,926,1183
Guinea,17/10/2014,111,191,1217,1519,0,191,671,862
Nigeria,17/10/2014,0,1,19,20,0,1,7,8
Spain,17/10/2014,0,0,1,1,0,0,0,0
Senegal,17/10/2014,0,0,1,1,0,0,0,0
United States of America,17/10/2014,0,0,3,3,0,0,1,1
Liberia,17/10/2014,0,0,0,4262,0,0,0,2484
Sierra Leone,17/10/2014,396,37,2977,3410,107,161,932,1200
Nigeria,22/10/2014,0,1,19,20,0,1,7,8
Spain,22/10/2014,0,0,1,1,0,0,0,0
United States of America,22/10/2014,0,0,3,3,0,0,1,1
Sierra Leone,22/10/2014,446,37,3223,3706,109,164,986,1259
Senegal,22/10/2014,0,0,1,1,0,0,0,0
Liberia,22/10/2014,1594,2106,965,4665,661,803,1241,2705
Guinea,22/10/2014,58,193,1289,1540,1,193,710,904
Mali,25/10/2014,0,0,1,1,0,0,1,1
United States of America,25/10/2014,0,0,4,4,0,0,1,1
Sierra Leone,25/10/2014,470,37,3389,3896,109,164,1008,1281
Spain,25/10/2014,0,0,1,1,0,0,0,0
Senegal,25/10/2014,0,0,1,1,0,0,0,0
Nigeria,25/10/2014,0,1,19,20,0,1,7,8
Guinea,25/10/2014,47,194,1312,1553,0,194,732,926
Liberia,25/10/2014,1594,2106,965,4665,661,803,1241,2705
Liberia,29/10/2014,2480,1540,2515,6535,0,0,0,2413
Mali,29/10/2014,0,0,1,1,0,0,1,1
Nigeria,29/10/2014,0,1,19,20,0,1,7,8
Senegal,29/10/2014,0,0,1,1,0,0,0,0
Spain,29/10/2014,0,0,1,1,0,0,0,0
Guinea,29/10/2014,316,199,1391,1906,0,0,0,997
United States of America,29/10/2014,0,0,4,4,0,0,1,1
Sierra Leone,29/10/2014,1213,322,3700,5235,0,0,0,1500
Guinea,31/10/2014,54,204,1409,1667,0,0,0,1018
Nigeria,31/10/2014,0,1,19,20,0,1,7,8
Spain,31/10/2014,0,0,1,1,0,0,0,0
United States of America,31/10/2014,0,0,4,4,0,0,1,1
Senegal,31/10/2014,0,0,1,1,0,0,0,0
Mali,31/10/2014,0,0,1,1,0,0,1,1
Liberia,31/10/2014,2480,1540,2515,6535,0,0,0,2413
Sierra Leone,31/10/2014,1238,322,3778,5338,0,0,0,1510
Spain,5/11/2014,0,0,1,1,0,0,0,0
United States of America,5/11/2014,0,0,4,4,0,0,1,1
Guinea,5/11/2014,70,204,1457,1731,0,204,837,1041
Liberia,5/11/2014,2447,1627,2451,6525,0,0,0,2697
Mali,5/11/2014,0,0,1,1,0,0,1,1
Nigeria,5/11/2014,0,1,19,20,0,1,7,8
