School Number,School Name,Suburb,Post code,Type of Schooling,Index of Educational Disadvantage,Latitude,Longitude
536,Aberfoyle Hub R-7 School,Aberfoyle Park,5159,Primary Education,7,-35.078139,138.595142
1673,Aberfoyle Park High School,Aberfoyle Park,5159,Secondary Education,6,-35.074007,138.594181
997,Adelaide East Education Centre,Paradise,5075,Special Education,6,-34.873042,138.672971
768,Adelaide High School,Adelaide,5000,Secondary Education,6,-34.925733,138.586678
476,Adelaide North Special School,Munno Para,5115,Special Education,4,-34.663577,138.684948
1686,Adelaide Secondary School of English,West Croydon,5008,Secondary Education,2,-34.886834,138.565419
1414,Adelaide West Special Education Ctr,Taperoo,5017,Special Education,6,-34.801247,138.494073
980,Airdale Primary School,Port Pirie,5540,Primary Education,1,-33.200389,137.990033
202,Alberton Primary School,Queenstown,5014,Primary Education,2,-34.862679,138.512645
210,Aldgate Primary School,Aldgate,5154,Primary Education,7,-35.019502,138.748939
222,Aldinga Beach B-7 School,Aldinga,5173,Primary Education,3,-35.269294,138.461896
473,Allenby Gardens Primary School,Allenby Gardens,5009,Primary Education,6,-34.902081,138.554563
751,Allendale East Area School,Allendale East,5291,Primary/Secondary Combined,5,-38.002525,140.711276
1001,Amata Anangu School,Amata,872,Aboriginal/Anangu Schools,1,-26.151709,131.147712
509,Andamooka Primary School,Andamooka,5722,Primary Education,3,-30.448801,137.167593
242,Angaston Primary School,Angaston,5353,Primary Education,6,-34.499092,139.050833
255,Angle Vale Primary School,Angle Vale,5117,Primary Education,4,-34.643346,138.647362
732,Ardrossan Area School,Ardrossan,5571,Primary/Secondary Combined,3,-34.423756,137.91592
1540,Ardtornish Primary School,St Agnes,5097,Primary Education,6,-34.833595,138.704599
340,Ascot Park Primary School,Park Holme,5043,Primary Education,4,-34.990774,138.554376
419,Athelstone School,Athelstone,5076,Primary Education,7,-34.867392,138.699416
425,Auburn Primary School,Auburn,5451,Primary Education,5,-34.027583,138.680973
990,Augusta Park Primary School,Port Augusta,5700,Primary Education,1,-32.495595,137.784949
1800,Australian Science & Mathematics Sch,Bedford Park,5042,Secondary Education,6,-35.018843,138.574657
906,Avenues College,Windsor Gardens,5087,Primary/Secondary Combined,3,-34.860757,138.657925
769,Balaklava High School,Balaklava,5461,Secondary Education,4,-34.1503,138.41511
477,Balaklava Primary School,Balaklava,5461,Primary Education,4,-34.151438,138.416488
1117,Banksia Park International HS,Banksia Park,5091,Secondary Education,6,-34.814401,138.726168
1015,Banksia Park School R-7,Banksia Park,5091,Primary Education,6,-34.808854,138.72609
506,Barmera Primary School,Barmera,5345,Primary Education,2,-34.25159,140.478058
511,Basket Range Primary School,Basket Range,5138,Primary Education,7,-34.938619,138.765498
519,Beachport Primary School,Beachport,5280,Primary Education,6,-37.475436,140.009715
524,Belair Primary School,Belair,5052,Primary Education,7,-35.00488,138.625814
1136,Bellevue Heights Primary School,Bellevue Heights,5050,Primary Education,6,-35.028955,138.588869
532,Berri Primary School,Berri,5343,Primary Education,2,-34.279661,140.594112
770,Birdwood High School,Birdwood,5234,Secondary Education,6,-34.819718,138.95963
547,Birdwood Primary School,Birdwood,5234,Primary Education,6,-34.819718,138.95963
548,Black Forest Primary School,Black Forest,5035,Primary Education,7,-34.960682,138.573308
905,Blackwood High School,Eden Hills,5050,Secondary Education,7,-35.025087,138.607259
565,Blackwood Primary School,Eden Hills,5050,Primary Education,7,-35.025087,138.607259
1903,Blair Athol North School B-7,Blair Athol,5084,Primary Education,1,-34.852716,138.598872
1854,Blakeview Primary School,Blakeview,5114,Primary Education,4,-34.687809,138.699956
571,Blanchetown Primary School,Blanchetown,5357,Primary Education,2,-34.350655,139.61118
586,Blyth Primary School,Blyth,5462,Primary Education,5,-33.844527,138.491087
600,Booborowie Primary School,Booborowie,5417,Primary Education,5,-33.566079,138.759558
771,Booleroo Centre District School,Booleroo Centre,5482,Primary/Secondary Combined,6,-32.877326,138.349525
894,Bordertown High School,Bordertown,5268,Secondary Education,5,-36.312935,140.767516
733,Bordertown Primary School,Bordertown,5268,Primary Education,5,-36.312935,140.767516
1418,Bowden Brompton Community School,Brompton,5007,Primary/Secondary Combined,2,-34.895043,138.580071
1163,Braeview School R-7,Happy Valley,5159,Primary Education,6,-35.080686,138.554101
983,Brahma Lodge Primary School,Brahma Lodge,5109,Primary Education,2,-34.775528,138.650326
636,Bridgewater Primary School,Bridgewater,5155,Primary Education,7,-35.004337,138.762645
637,Brighton Primary School,Brighton,5048,Primary Education,6,-35.015974,138.526228
803,Brighton Secondary School,North Brighton,5048,Secondary Education,7,-35.003619,138.519676
752,Brinkworth Primary School,Brinkworth,5464,Primary Education,5,-33.687102,138.404569
646,Brompton Primary School,Renown Park,5008,Primary Education,3,-34.894564,138.581612
699,Burnside Primary School,Burnside,5066,Primary Education,7,-34.935601,138.661574
1432,Burra Community School,Burra,5417,Primary/Secondary Combined,5,-33.677412,138.938652
1844,Burton Primary School,Burton,5110,Primary Education,4,-34.741477,138.597764
702,Bute Primary School,Bute,5560,Primary Education,4,-33.864926,138.003827
704,Cadell Primary School,Cadell,5321,Primary Education,4,-34.05642,139.771652
705,Callington Primary School,Callington,5254,Primary Education,5,-35.11362,139.039395
747,Cambrai Primary School,Cambrai,5353,Primary Education,2,-34.652888,139.280966
981,Carlton School,Port Augusta,5700,Aboriginal/Anangu Schools,1,-32.487975,137.776238
734,Ceduna Area School,Ceduna,5690,Primary/Secondary Combined,2,-32.137676,133.671396
761,Central Yorke School,Maitland,5573,Primary/Secondary Combined,2,-34.368261,137.673481
714,Challa Gardens Primary School,Kilkenny,5009,Primary Education,2,-34.877562,138.555082
1028,Charles Campbell College,Paradise,5075,Primary/Secondary Combined,5,-34.87403,138.674133
1019,Christie Downs Primary School,Christie Downs,5164,Primary Education,2,-35.13242,138.494017
1013,Christies Beach HS & Sth Voc College,Christie Downs,5164,Secondary Education,2,-35.136982,138.497694
921,Christies Beach Primary School,Christies Beach,5165,Primary Education,2,-35.138009,138.479076
952,Clapham Primary School,Clapham,5062,Primary Education,7,-34.993358,138.603502
773,Clare High School,Clare,5453,Primary/Secondary Combined,5,-33.822384,138.596522
719,Clare Primary School,Clare,5453,Primary Education,5,-33.840746,138.618052
720,Clarendon Primary School,Clarendon,5157,Primary Education,7,-35.110275,138.632175
753,Cleve Area School,Cleve,5640,Primary/Secondary Combined,6,-33.699647,136.497429
932,Clovelly Park Primary School,Clovelly Park,5042,Primary Education,3,-34.998429,138.565416
721,Cobdogla Primary School,Cobdogla,5346,Primary Education,4,-34.242439,140.406113
723,Colonel Light Gardens Primary School,Colonel Light Gardens,5041,Primary Education,7,-34.986809,138.59544
724,Compton Primary School,Suttontown,5291,Primary Education,6,-37.801357,140.728606
920,Coober Pedy Area School,Coober Pedy,5723,Primary/Secondary Combined,1,-29.012416,134.752049
729,Coomandook Area School,Coomandook,5261,Primary/Secondary Combined,5,-35.47536,139.70583
730,Coonalpyn Primary School,Coonalpyn,5265,Primary Education,5,-35.698735,139.852091
323,Coorara Primary School,Morphett Vale,5162,Primary Education,4,-35.131326,138.542009
104,Coromandel Valley Primary School,Coromandel Valley,5051,Primary Education,7,-35.033562,138.626758
106,Cowandilla Primary School,Cowandilla,5033,Primary Education,3,-34.93416,138.559877
735,Cowell Area School,Cowell,5602,Primary/Secondary Combined,5,-33.683646,136.918203
107,Crafers Primary School,Crafers,5152,Primary Education,7,-34.993387,138.71348
1226,Craigburn Primary School,Flagstaff Hill,5159,Primary Education,7,-35.056187,138.615495
976,Craigmore High School,Blakeview,5114,Secondary Education,3,-34.69116,138.701176
1449,Craigmore South Primary School,Craigmore,5114,Primary Education,3,-34.70978,138.706148
111,Crystal Brook Primary School,Crystal Brook,5523,Primary Education,4,-33.352948,138.213543
754,Cummins Area School,Cummins,5631,Primary/Secondary Combined,5,-34.263356,135.72233
114,Curramulka Primary School,Curramulka,5580,Primary Education,5,-34.696257,137.713037
666,Darlington Primary School,Seacombe Gardens,5047,Primary Education,3,-35.027204,138.546916
982,Dernancourt School R-7,Dernancourt,5075,Primary Education,5,-34.861164,138.673148
1036,East Adelaide School,St Peters,5069,Primary Education,7,-34.90564,138.627346
1043,East Marden Primary School,Campbelltown,5074,Primary Education,5,-34.881964,138.65353
102,East Murray Area School,Mindarie,5309,Primary/Secondary Combined,5,-34.815955,140.216073
1134,East Para Primary School,Para Hills,5096,Primary Education,5,-34.81765,138.666078
971,East Torrens Primary School,Hectorville,5073,Primary Education,4,-34.889946,138.666334
1884,Eastern Fleurieu R-12 School,Strathalbyn,5255,Primary/Secondary Combined,5,-35.258107,138.902172
123,Echunga Primary School,Echunga,5153,Primary Education,6,-35.097706,138.79085
124,Eden Hills Primary School,Eden Hills,5050,Primary Education,7,-35.020546,138.595317
1030,Edward John Eyre High School,Whyalla Norrie,5608,Secondary Education,2,-33.026208,137.540961
127,Edwardstown Primary School,Melrose Park,5039,Primary Education,6,-34.978729,138.57801
947,Elizabeth Downs Primary School,Elizabeth Downs,5113,Primary Education,1,-34.698783,138.69474
943,Elizabeth East Primary School,Elizabeth East,5112,Primary Education,2,-34.725069,138.677471
897,Elizabeth Grove Primary School,Elizabeth Grove,5112,Primary Education,1,-34.73263,138.67034
825,Elizabeth North Primary School,Elizabeth North,5113,Primary Education,2,-34.703341,138.674156
948,Elizabeth Park Primary School,Elizabeth Park,5113,Primary Education,2,-34.712946,138.684899
688,Elizabeth South Primary School,Elizabeth South,5112,Primary Education,1,-34.730502,138.661118
949,Elizabeth Vale Primary School,Elizabeth Vale,5112,Primary Education,1,-34.746118,138.669137
128,Elliston Area School,Elliston,5670,Primary/Secondary Combined,5,-33.644153,134.892451
660,Enfield Primary School,Enfield,5085,Primary Education,2,-34.865172,138.603431
1034,Ernabella Anangu School,Ernabella,872,Aboriginal/Anangu Schools,1,-26.283843,132.13524
1415,Errington Special Education Centre,Plympton,5038,Special Education,7,-34.962459,138.548514
755,Eudunda Area School,Eudunda,5374,Primary/Secondary Combined,4,-34.181019,139.091242
142,Evanston Gardens Primary School,Evanston Gardens,5116,Primary Education,3,-34.624606,138.718986
1103,Fairview Park Primary School,Fairview Park,5126,Primary Education,7,-34.797794,138.731846
1228,Felixstow Community School,Felixstow,5070,Primary Education,7,-34.892516,138.644709
805,Findon High School,Findon,5023,Secondary Education,3,-34.898332,138.526613
968,Fisk Street Primary School,Whyalla Norrie,5608,Primary Education,1,-33.016958,137.533218
1018,Flagstaff Hill R-7 School,Flagstaff Hill,5159,Primary Education,7,-35.04944,138.589485
1142,Flaxmill School P-7,Morphett Vale,5162,Primary Education,2,-35.127831,138.519309
